country,year,dva_value,fnl_value,exgr_value,dva_share,dva_ratio,dva_growth,dva_lag,dva_share_growth,dva_share_lag
IDN,2021,77432.706,38637.383,90242.625,0.8580502395625128,2.0040877509742314,22.994874376078567,62956.043,-2.351267087800457,0.8815629104405174
IDN,2022,99188.071,48491.655,115983.189,0.8551935142945587,2.0454668127949027,28.095834594751203,77432.706,-0.2856725267954108,0.8580502395625128
IND,2000,30116.672,17058.887,34668.653,0.8687003789850156,1.7654535140539942,,,,
IND,2001,29090.025,16897.92,33160.824,0.8772407163344312,1.7215151332234977,-3.4088992303000665,30116.672,0.8540337349415617,0.8687003789850156
IND,2002,31829.685,18537.47,36429.127,0.8737427333902347,1.717045799669534,9.417867464878427,29090.025,-0.3497982944196565,0.8772407163344312
IND,2003,39585.802,22027.097,45388.326,0.8721582285277497,1.7971411303087284,24.36755814580007,31829.685,-0.1584504862484959,0.8737427333902347
IND,2004,52503.394,29639.041,61390.952,0.8552301648620794,1.771426882536449,32.63188150135241,39585.802,-1.6928063665670345,0.8721582285277497
IND,2005,69361.925,39228.557,83378.628,0.8318909373274889,1.7681487748835625,32.10941182202431,52503.394,-2.33392275345905,0.8552301648620794
IND,2006,84566.089,47864.811,103436.998,0.8175613236571309,1.7667695167541768,21.920043309063296,69361.925,-1.432961367035801,0.8318909373274889
IND,2007,105590.761,60098.85,130128.647,0.8114336345939261,1.7569514391706331,24.86182375065258,84566.089,-0.6127689063204711,0.8175613236571309
IND,2008,117003.26,66799.82,148868.255,0.7859517128080798,1.7515505281301653,10.80823633802581,105590.761,-2.5481921785846295,0.8114336345939261
IND,2009,106599.518,60540.139,132908.635,0.8020511082669685,1.7608072885329846,-8.891839423961345,117003.26,1.609939545888861,0.7859517128080798
IND,2010,142951.969,82857.857,181868.043,0.7860202740511152,1.7252675144615435,34.101890592038146,106599.518,-1.6030834215853274,0.8020511082669685
IND,2011,170965.785,100431.707,226547.162,0.7546586922152659,1.7023088634747592,19.596663268065928,142951.969,-3.136158183584925,0.7860202740511152
IND,2012,170647.16,101616.991,230585.585,0.7400599651535026,1.6793171921416175,-0.18636769924461616,170965.785,-1.459872706176335,0.7546586922152659
IND,2013,178513.71,106782.347,237547.308,0.751486983805348,1.6717530098865498,4.609833530191754,170647.16,1.1427018651845366,0.7400599651535026
IND,2014,181963.179,106698.799,237546.002,0.7660123827299775,1.7053910700531878,1.932327214531604,178513.71,1.4525398924629562,0.751486983805348
IND,2015,183141.843,107795.853,224854.392,0.8144908416999033,1.698969282241312,0.6477486305072722,181963.179,4.847845896992576,0.7660123827299775
IND,2016,185265.29,110884.043,227334.661,0.81494519658839,1.6708020828569536,1.1594548603510724,183141.843,0.04543548884867743,0.8144908416999033
IND,2017,206006.978,122363.261,252738.566,0.81509910125865,1.6835688777532662,11.195668654392833,185265.29,0.015390467025999666,0.81494519658839
IND,2018,215152.363,126894.178,269863.245,0.7972644181314874,1.6955258814159309,4.439356903725855,206006.978,-1.7834683127162632,0.81509910125865
IND,2019,217108.043,129237.606,273343.933,0.7942669172028047,1.6799138402486349,0.9089744461695748,215152.363,-0.29975009286826726,0.7972644181314874
IND,2020,207747.003,111804.882,250813.168,0.8282938438064783,1.858121034464309,-4.311696550090504,217108.043,3.402692660367357,0.7942669172028047
IND,2021,256277.199,140007.908,327042.884,0.7836195543089693,1.8304480272642885,23.360238799690404,207747.003,-4.467428949750896,0.8282938438064783
IND,2022,296638.398,163194.852,394516.396,0.7519038524320292,1.8176945802187434,15.74904016334282,256277.199,-3.171570187694017,0.7836195543089693
JPN,2000,310267.82,191328.503,332673.269,0.932650287570896,1.6216497549243878,,,,
JPN,2001,259195.682,159202.697,278916.506,0.9292948836810684,1.628085999070732,-16.460662275578564,310267.82,-0.33554038898275795,0.932650287570896
JPN,2002,253444.381,154699.607,272720.801,0.9293181160757885,1.638300096004769,-2.218903091140234,259195.682,0.002323239472012961,0.9292948836810684
JPN,2003,276209.684,156498.562,298096.753,0.9265772982102894,1.7649343257224306,8.982366430921186,253444.381,-0.2740817865499068,0.9293181160757885
JPN,2004,315519.761,178852.862,343258.977,0.9191886655305157,1.7641303441932061,14.2319691441376,276209.684,-0.7388632679773743,0.9265772982102894
JPN,2005,327346.916,190033.775,363733.456,0.8999637250855473,1.7225722953722307,3.7484672790431217,315519.761,-1.9224940444968364,0.9191886655305157
JPN,2006,340828.102,197400.442,389206.038,0.8757009622754106,1.7265822636810508,4.118317705488939,327346.916,-2.426276281013673,0.8999637250855473
JPN,2007,363779.923,212330.818,420156.201,0.8658206689183198,1.7132695405525165,6.734133971147727,340828.102,-0.9880293357090841,0.8757009622754106
JPN,2008,368354.151,210942.344,432947.268,0.850806040887178,1.7462314299494084,1.2574162868246086,363779.923,-1.501462803114173,0.8658206689183198
JPN,2009,276115.966,139307.101,309314.363,0.8926710137931746,1.9820667002466732,-25.040625916551708,368354.151,4.186497290599656,0.850806040887178
JPN,2010,334913.081,181170.469,381943.088,0.8768664534649204,1.848607462621295,21.294355357922324,276115.966,-1.580456032825417,0.8926710137931746
JPN,2011,342640.409,186718.152,401132.005,0.8541836720308568,1.8350674818161223,2.307263716582031,334913.081,-2.268278143406366,0.8768664534649204
JPN,2012,333638.156,191590.19,391166.629,0.8529310305762304,1.7414156539016952,-2.627317958869224,342640.409,-0.12526414546263354,0.8541836720308568
JPN,2013,300783.056,176990.42,360393.747,0.8345956568441794,1.6994312799528921,-9.847524753733516,333638.156,-1.8335373732051075,0.8529310305762304
JPN,2014,309675.755,182061.55,374513.334,0.8268751120086956,1.7009399019177855,2.9565159415096964,300783.056,-0.7720544835483789,0.8345956568441794
JPN,2015,300547.741,177040.96,353587.931,0.8499943427084903,1.6976169864871948,-2.947603696001333,309675.755,2.3119230699794713,0.8268751120086956
JPN,2016,324392.326,186378.16,372012.79,0.8719924011214776,1.7405061086556493,7.933709606554662,300547.741,2.19980584129873,0.8499943427084903
JPN,2017,340508.219,199531.39,396686.92,0.858380253626714,1.706539602615909,4.968025353349437,324392.326,-1.3612147494763582,0.8719924011214776
JPN,2018,348019.262,209405.074,409431.695,0.8500056694438373,1.6619428333431883,2.2058330991417296,340508.219,-0.8374584182876732,0.858380253626714
JPN,2019,340637.495,197996.131,397973.053,0.8559310547088724,1.7204250066886408,-2.1210800107954952,348019.262,0.5925385265035166,0.8500056694438373
JPN,2020,285867.284,160306.524,330605.669,0.8646775019456789,1.7832542111636078,-16.07873819057999,340637.495,0.8746447236806509,0.8559310547088724
JPN,2021,320237.294,182392.493,377956.816,0.8472854052194153,1.7557591802860002,12.023065220712702,285867.284,-1.7392096726263628,0.8646775019456789
JPN,2022,319953.865,192440.473,402115.2,0.7956771218795011,1.6626121314927345,-0.08850593147967656,320237.294,-5.160828333991418,0.8472854052194153
KOR,2000,84290.525,68436.815,119400.356,0.7059486908062484,1.231654702224234,,,,
KOR,2001,72735.266,58171.203,100898.874,0.7208729207424059,1.250365511608897,-13.708846872172153,84290.525,1.4924229936157496,0.7059486908062484
KOR,2002,75093.399,59940.903,102969.316,0.7292793806652071,1.2527905860877673,3.2420765464719725,72735.266,0.8406459922801202,0.7208729207424059
KOR,2003,82230.346,63530.113,115181.562,0.7139193510850287,1.294352270394986,9.504093695372617,75093.399,-1.5360029580178458,0.7292793806652071
KOR,2004,105488.68,82124.907,151159.953,0.6978612913434816,1.284490708768778,28.284368400930717,82230.346,-1.605805974154706,0.7139193510850287
KOR,2005,113369.534,84326.339,166247.034,0.6819341751384268,1.3444142760662239,7.4708053982664335,105488.68,-1.5927116205054825,0.6978612913434816
KOR,2006,122303.19,90199.355,184687.985,0.6622151949949533,1.3559208932258995,7.880120597479046,113369.534,-1.9718980143473508,0.6819341751384268
KOR,2007,133119.65,95855.569,202861.717,0.6562088301756807,1.388752384329386,8.84397209917418,122303.19,-0.6006364819272636,0.6622151949949533
KOR,2008,130501.225,101197.558,219968.118,0.5932733624606453,1.289568914301272,-1.9669710670062512,133119.65,-6.293546771503533,0.6562088301756807
KOR,2009,108435.454,81418.841,171930.934,0.6306919381942053,1.3318226183052642,-16.90847806217911,130501.225,3.741857573356,0.5932733624606453
KOR,2010,129295.116,98250.272,204529.558,0.6321585851175604,1.3159771812132999,19.236938870565346,108435.454,0.1466646923355075,0.6306919381942053
KOR,2011,145538.264,119842.164,249437.275,0.583466380475813,1.21441618827911,12.562847308169012,129295.116,-4.86922046417474,0.6321585851175604
KOR,2012,146109.167,119598.604,249963.542,0.584521909999179,1.221662813054239,0.3922700355969644,145538.264,0.10555295233659612,0.583466380475813
KOR,2013,150086.599,120760.145,245974.796,0.6101706412229324,1.2428487809450708,2.7222330273089623,146109.167,2.564873122375344,0.584521909999179
KOR,2014,164625.032,128584.3,261148.528,0.6303885120884158,1.280288744426808,9.686696278593153,150086.599,2.0217870865483434,0.6101706412229324
KOR,2015,156696.71,115797.226,227174.091,0.6897648816827444,1.353199169037089,-4.815988129921833,164625.032,5.937636959432857,0.6303885120884158
KOR,2016,151199.235,107502.478,211223.058,0.7158273174891729,1.406472090810781,-3.508353812916687,156696.71,2.606243580642853,0.6897648816827444
KOR,2017,159080.243,114031.174,228962.098,0.6947885453076168,1.3950592405546924,5.2123332502310715,151199.235,-2.1038772181556142,0.7158273174891729
KOR,2018,163570.531,118181.13,239979.84,0.6816011336618942,1.3840663987558757,2.822655985004996,159080.243,-1.3187411645722569,0.6947885453076168
KOR,2019,156733.13,112848.665,228044.175,0.6872928457830594,1.388878902555028,-4.180093417927456,163570.531,0.5691712121165149,0.6816011336618942
KOR,2020,150874.54,104532.178,212637.503,0.7095387119928699,1.4433310669179782,-3.737939770615184,156733.13,2.2245866209810505,0.6872928457830594
KOR,2021,186064.483,127438.814,269893.05,0.6894007941293784,1.4600299324819517,23.32397699439548,150874.54,-2.0137917863491506,0.7095387119928699
KOR,2022,201042.428,148354.645,319947.372,0.6283609293093366,1.3551475115592102,8.049867851458782,186064.483,-6.103986482004176,0.6894007941293784
MYS,2000,29569.313,24474.131,49661.045,0.5954226899574908,1.2081864316244773,,,,
MYS,2001,28344.915,23983.795,47648.801,0.5948715267777672,1.181836110590505,-4.140772563772444,29569.313,-0.05511631797235905,0.5954226899574908
MYS,2002,29028.166,25396.301,48661.387,0.5965338801378596,1.1430076372145692,2.4104887949037757,28344.915,0.166235336009235,0.5948715267777672
MYS,2003,30979.529,25158.93,52134.291,0.5942255741043836,1.2313532014278825,6.722308946421207,29028.166,-0.2308306033475982,0.5965338801378596
MYS,2004,36531.826,28946.24,62905.31,0.5807431200959029,1.2620577318504924,17.922470674102243,30979.529,-1.3482454008480693,0.5942255741043836
MYS,2005,41406.095,33201.264,69786.985,0.593321161531767,1.2471240552769316,13.342527690786653,36531.826,1.2578041435864051,0.5807431200959029
MYS,2006,45172.491,36209.404,76907.692,0.5873598573209037,1.2475347840577546,9.096235711191802,41406.095,-0.5961304210863272,0.593321161531767
MYS,2007,51710.713,41441.668,87316.978,0.5922183083340333,1.2477951659667754,14.473901826667035,45172.491,0.485845101312965,0.5873598573209037
MYS,2008,61159.404,44638.44,99994.318,0.611628792748004,1.3701062133891775,18.272211794875084,51710.713,1.9410484413970641,0.5922183083340333
MYS,2009,48734.741,36608.201,78306.246,0.6223608395171951,1.3312520055273953,-20.315212685852856,61159.404,1.073204676919115,0.611628792748004
MYS,2010,56446.099,42754.07,89832.927,0.6283453170795604,1.3202508907339114,15.823122975045667,48734.741,0.5984477562365309,0.6223608395171951
MYS,2011,64328.319,48763.171,103261.962,0.6229623934513272,1.319198847835388,13.964153660999678,56446.099,-0.5382923628233227,0.6283453170795604
MYS,2012,62583.278,45061.59,98629.848,0.6345267611078544,1.3888386539400852,-2.712710400531382,64328.319,1.1564367656527241,0.6229623934513272
MYS,2013,62400.451,43301.656,97546.778,0.6396977150798359,1.4410638475350688,-0.2921339467069739,62583.278,0.5170953971981418,0.6345267611078544
MYS,2014,65815.704,43559.953,99191.67,0.6635204750560203,1.5109222913991665,5.473122301632083,62400.451,2.3822759976184438,0.6396977150798359
MYS,2015,53659.581,38884.072,82378.556,0.6513780236691694,1.379988726489345,-18.469942978958333,65815.704,-1.2142451386850883,0.6635204750560203
MYS,2016,52720.877,40248.453,81275.48,0.6486689097375986,1.3098857985920602,-1.7493688592163936,53659.581,-0.27091139315708057,0.6513780236691694
MYS,2017,56311.956,42205.309,88480.553,0.6364331380252563,1.3342386854696406,6.811493291357795,52720.877,-1.2235771712342358,0.6486689097375986
MYS,2018,62014.986,45857.966,97328.07,0.6371747225646208,1.352327445137885,10.127565094702096,56311.956,0.07415845393645704,0.6364331380252563
MYS,2019,59645.202,43495.185,91353.908,0.6529025775230108,1.3713058583381126,-3.821308610792884,62014.986,1.572785495839002,0.6371747225646208
MYS,2020,51779.913,35222.264,80448.307,0.6436420470601079,1.4700904234889614,-13.186792459852848,59645.202,-0.9260530462902983,0.6529025775230108
MYS,2021,56341.473,36629.684,87101.076,0.6468516301681508,1.5381370202374662,8.809516539743889,51779.913,0.32095831080429793,0.6436420470601079
MYS,2022,65860.045,43879.843,100682.299,0.6541372778943,1.5009179727466206,16.89443227726759,56341.473,0.7285647726149147,0.6468516301681508
PHL,2000,14415.086,11166.568,17513.781,0.8230710433115499,1.2909146301710606,,,,
PHL,2001,12912.967,10173.309,16756.201,0.7706381058570496,1.269298612673615,-10.420465060007267,14415.086,-5.243293745450028,0.8230710433115499
PHL,2002,13328.678,10401.604,17652.577,0.7550556499484465,1.281406021609744,3.219329841081442,12912.967,-1.5582455908603077,0.7706381058570496
PHL,2003,13739.758,10455.246,18774.991,0.73181169567538,1.3141496622843691,3.084176840343811,13328.678,-2.324395427306658,0.7550556499484465
PHL,2004,14573.165,11274.367,20133.702,0.7238194446306994,1.2925927460051638,6.065659962861081,13739.758,-0.7992251044680598,0.73181169567538
PHL,2005,16166.541,11290.299,21813.716,0.7411181570347757,1.4318966220469447,10.933630409042916,14573.165,1.7298712404076322,0.7238194446306994
PHL,2006,18017.247,12420.672,23630.325,0.7624629369253278,1.4505855238750367,11.447754965023126,16166.541,2.134477989055217,0.7411181570347757
PHL,2007,20815.047,14196.559,26628.353,0.7816873615878533,1.4662036765388007,15.528454485860133,18017.247,1.9224424662525497,0.7624629369253278
PHL,2008,22241.524,13262.113,28260.168,0.7870273099579592,1.6770724242811084,6.853104871682514,20815.047,0.5339948370105874,0.7816873615878533
PHL,2009,21569.203,12733.443,27750.551,0.7772531435501948,1.6939018771278123,-3.0228189399251537,22241.524,-0.9774166407764406,0.7870273099579592
PHL,2010,26971.851,15974.345,34705.76,0.7771577686239978,1.6884480083533941,25.047972333516434,21569.203,-0.00953749261970449,0.7772531435501948
PHL,2011,27736.73,16165.378,34608.442,0.8014440522922123,1.7158107901961834,2.83584170771225,26971.851,2.4286283668214503,0.7771577686239978
PHL,2012,29212.63,16568.13,35643.633,0.8195749855240626,1.7631820851236681,5.321103100473645,27736.73,1.8130933231850332,0.8014440522922123
PHL,2013,29881.624,16488.418,36888.614,0.8100500604332816,1.812279625613567,2.2900848023611697,29212.63,-0.9524925090780956,0.8195749855240626
PHL,2014,33248.313,17773.002,40684.693,0.8172192180484193,1.8707201518347887,11.26675377482831,29881.624,0.71691576151377,0.8100500604332816
PHL,2015,33038.87,17656.345,41168.471,0.8025284689343941,1.8712179672519993,-0.6299357203476741,33248.313,-1.4690749114025237,0.8172192180484193
PHL,2016,33978.778,17865.901,43048.692,0.7893103465257434,1.9018787801410069,2.8448551660513743,33038.87,-1.3218122408650723,0.8025284689343941
PHL,2017,38127.341,21177.16,49213.953,0.7747262448111006,1.8003991564496844,12.209276625545517,33978.778,-1.458410171464275,0.7893103465257434
PHL,2018,40027.062,22669.938,51967.538,0.7702320244611164,1.765644970003888,4.9825688080372466,38127.341,-0.4494220349984257,0.7747262448111006
PHL,2019,40739.261,23106.704,52628.67,0.7740887428848192,1.7630926937913773,1.7792937188345181,40027.062,0.3856718423702832,0.7702320244611164
PHL,2020,32742.525,16772.125,42097.039,0.7777868890018608,1.9521989610738055,-19.62906494548342,40739.261,0.36981461170415564,0.7740887428848192
PHL,2021,35043.002,18360.346,46914.952,0.7469474124155557,1.9086242710240862,7.025960887255933,32742.525,-3.0839476586305037,0.7777868890018608
PHL,2022,42847.227,22886.649,58012.174,0.7385902655535715,1.8721494352449761,22.270423635509307,35043.002,-0.8357146861984188,0.7469474124155557
SGP,2000,29630.935,26925.035,49753.144,0.5955590464795552,1.1004975480997519,,,,
SGP,2001,27991.982,24337.553,46323.111,0.6042768155187159,1.150155975007019,-5.53122269007037,29630.935,0.8717769039160772,0.5955590464795552
SGP,2002,29422.59,24774.138,47903.565,0.6142046004300514,1.1876332488339252,5.1107777934410015,27991.982,0.9927784911335502,0.6042768155187159
SGP,2003,32392.357,25118.09,53369.808,0.6069416063853931,1.2896027126266367,10.093492789044056,29422.59,-0.7262994044658355,0.6142046004300514
SGP,2004,40171.72,31370.188,67781.269,0.5926669800177391,1.2805699474928236,24.016044896022848,32392.357,-1.4274626367653975,0.6069416063853931
SGP,2005,46433.68,38848.866,82949.775,0.5597806624550821,1.1952390064616043,15.587980798432334,40171.72,-3.288631756265703,0.5926669800177391
SGP,2006,55116.025,44009.528,97396.401,0.5658938567966182,1.2523657377102522,18.69837798770204,46433.68,0.6113194341536121,0.5597806624550821
SGP,2007,61450.597,43446.309,105199.819,0.5841321552083659,1.414403165985861,11.493158296520845,55116.025,1.8238298411747733,0.5658938567966182
SGP,2008,61336.272,44056.809,113244.92,0.5416249311668903,1.3922086822039244,-0.18604375804518458,61450.597,-4.250722404147567,0.5841321552083659
SGP,2009,59567.058,40019.106,103173.271,0.5773497091121595,1.488465484461347,-2.884449840707637,61336.272,3.5724777945269293,0.5416249311668903
