country,year,dva_growth,dva_lag,log_dva_lag
IND,2007,24.86182375065258,84566.089,11.345288625993293
IND,2008,10.80823633802581,105590.761,11.567326155896476
IND,2009,-8.891839423961345,117003.26,11.669957076639584
IND,2010,34.101890592038146,106599.518,11.576834269127675
IND,2011,19.596663268065928,142951.969,11.870263971702466
IND,2012,-0.1863676992446161,170965.785,12.04921872774528
IND,2013,4.609833530191754,170647.16,12.04735331194615
IND,2014,1.932327214531604,178513.71,12.092420683975034
IND,2015,0.6477486305072722,181963.179,12.111559632404045
IND,2016,1.1594548603510724,183141.843,12.11801622995061
IND,2017,11.195668654392833,185265.29,12.129544076864343
IND,2018,4.439356903725855,206006.978,12.235665320984422
IND,2019,0.9089744461695748,215152.363,12.279101721241524
IND,2020,-4.311696550090504,217108.043,12.288150402623717
IND,2021,23.360238799690404,207747.003,12.244076286620858
IND,2022,15.74904016334282,256277.199,12.454014946241069
JPN,2001,-16.460662275578564,310267.82,12.645191138967743
JPN,2002,-2.218903091140234,259195.682,12.465338584370878
JPN,2003,8.982366430921186,253444.381,12.44289967360147
JPN,2004,14.2319691441376,276209.684,12.528915580892289
JPN,2005,3.7484672790431217,315519.761,12.661976592916405
JPN,2006,4.118317705488939,327346.916,12.698775792715955
JPN,2007,6.734133971147727,340828.102,12.739133529457936
JPN,2008,1.2574162868246086,363779.923,12.804304356627418
JPN,2009,-25.040625916551708,368354.151,12.816800121220803
JPN,2010,21.294355357922324,276115.966,12.528576223120657
JPN,2011,2.307263716582031,334913.081,12.721626317440219
JPN,2012,-2.627317958869224,342640.409,12.7444368059612
JPN,2013,-9.847524753733516,333638.156,12.717812319425036
JPN,2014,2.9565159415096964,300783.056,12.614144539684006
JPN,2015,-2.947603696001333,309675.755,12.64328107745931
JPN,2016,7.933709606554662,300547.741,12.613361892218798
JPN,2017,4.968025353349437,324392.326,12.689708944963316
JPN,2018,2.2058330991417296,340508.219,12.738194542312693
JPN,2019,-2.1210800107954952,348019.262,12.760013107799537
JPN,2020,-16.07873819057999,340637.495,12.738574126295664
JPN,2021,12.023065220712702,285867.284,12.563282940143159
JPN,2022,-0.0885059314796765,320237.294,12.676817543718188
KOR,2001,-13.708846872172153,84290.525,11.342024741468986
KOR,2002,3.2420765464719725,72735.266,11.194581635312307
KOR,2003,9.504093695372616,75093.399,11.226487937750653
KOR,2004,28.28436840093072,82230.346,11.31727968566617
KOR,2005,7.4708053982664335,105488.68,11.566358927563154
KOR,2006,7.880120597479046,113369.534,11.638407974568338
KOR,2007,8.84397209917418,122303.19,11.714258404736569
KOR,2008,-1.9669710670062512,133119.65,11.799003626844849
KOR,2009,-16.90847806217911,130501.225,11.779137892674008
KOR,2010,19.236938870565343,108435.454,11.593910380933785
KOR,2011,12.562847308169012,129295.116,11.769852791424736
KOR,2012,0.3922700355969644,145538.264,11.888194313837634
KOR,2013,2.7222330273089623,146109.167,11.892109340465838
KOR,2014,9.686696278593152,150086.599,11.918967733156133
KOR,2015,-4.815988129921833,164625.032,12.011425633426732
KOR,2016,-3.508353812916687,156696.71,11.962067432590837
KOR,2017,5.212333250231072,151199.235,11.92635368319096
KOR,2018,2.822655985004996,159080.243,11.977164026853776
KOR,2019,-4.180093417927456,163570.531,12.004999558563863
KOR,2020,-3.737939770615184,156733.13,11.962299829098866
KOR,2021,23.32397699439548,150874.54,11.924203909513661
KOR,2022,8.049867851458782,186064.483,12.133848575410443
MYS,2001,-4.140772563772444,29569.313,10.294492379570206
MYS,2002,2.410488794903776,28344.915,10.252202927988693
MYS,2003,6.722308946421207,29028.166,10.276021878998185
MYS,2004,17.922470674102243,30979.529,10.341081910498282
MYS,2005,13.342527690786651,36531.826,10.505939104852674
MYS,2006,9.096235711191802,41406.095,10.6311833711995
MYS,2007,14.473901826667037,45172.491,10.718243574349705
MYS,2008,18.272211794875084,51710.713,10.853420253730713
MYS,2009,-20.315212685852856,61159.404,11.021238915064188
MYS,2010,15.823122975045669,48734.741,10.794147422301458
MYS,2011,13.964153660999678,56446.099,10.941041461786908
MYS,2012,-2.712710400531382,64328.319,11.071755233176019
MYS,2013,-0.2921339467069739,62583.278,11.04425339680342
MYS,2014,5.473122301632083,62400.451,11.041327781895502
MYS,2015,-18.469942978958333,65815.704,11.094613751452
MYS,2016,-1.7493688592163936,53659.581,10.890415315525722
MYS,2017,6.811493291357795,52720.877,10.872766804091139
