nuts2_code,programming_period,gdp_pc_pps,eu_threshold_75pct,eligible
PT1B,2014-2020,9436.71,18595.55,1
PT1C,2014-2020,8054.236666666667,18595.55,1
PT1D,2014-2020,11761.613333333333,18595.55,1
PT20,2014-2020,3775.183333333333,18595.55,1
PT30,2014-2020,4309.956666666667,18595.55,1
PTZZ,2014-2020,139.11666666666667,18595.55,1
RO11,2014-2020,18426.063333333335,18595.55,1
RO12,2014-2020,17761.583333333332,18595.55,1
RO21,2014-2020,16115.94,18595.55,1
RO22,2014-2020,17205.023333333334,18595.55,1
RO31,2014-2020,19971.11333333333,18595.55,0
RO32,2014-2020,43029.77333333334,18595.55,0
RO41,2014-2020,11614.86,18595.55,1
RO42,2014-2020,15196.536666666667,18595.55,1
ROZZ,2014-2020,117.41666666666667,18595.55,1
RS11,2014-2020,15469.583333333334,18595.55,1
RS12,2014-2020,9796.23,18595.55,1
RS21,2014-2020,7067.986666666667,18595.55,1
RS22,2014-2020,5108.55,18595.55,1
RSZZ,2014-2020,23.78,18595.55,1
SE11,2014-2020,142178.87,18595.55,0
SE12,2014-2020,64288.53666666666,18595.55,0
SE21,2014-2020,32658.680000000004,18595.55,0
SE22,2014-2020,57071.01,18595.55,0
SE23,2014-2020,87675.30333333334,18595.55,0
SE31,2014-2020,30581.313333333335,18595.55,0
SE32,2014-2020,14531.756666666668,18595.55,1
SE33,2014-2020,21543.210000000003,18595.55,0
SEZZ,2014-2020,103.16000000000001,18595.55,1
SI03,2014-2020,16756.986666666668,18595.55,1
SI04,2014-2020,21835.676666666666,18595.55,0
SK01,2014-2020,22934.77,18595.55,0
SK02,2014-2020,24463.106666666663,18595.55,0
SK03,2014-2020,15670.096666666666,18595.55,1
SK04,2014-2020,16452.086666666666,18595.55,1
TR10,2014-2020,232099.59333333335,18595.55,0
TR21,2014-2020,18775.653333333332,18595.55,0
TR22,2014-2020,14528.743333333334,18595.55,1
TR31,2014-2020,45652.073333333334,18595.55,0
TR32,2014-2020,24794.066666666666,18595.55,0
TR33,2014-2020,24073.85666666667,18595.55,0
TR41,2014-2020,42218.01666666667,18595.55,0
TR42,2014-2020,44433.40333333333,18595.55,0
TR51,2014-2020,71249.36333333333,18595.55,0
TR52,2014-2020,18408.99666666667,18595.55,1
TR61,2014-2020,29376.323333333334,18595.55,0
TR62,2014-2020,28497.37,18595.55,0
TR63,2014-2020,18672.76,18595.55,0
TR71,2014-2020,10393.86,18595.55,1
TR72,2014-2020,17849.823333333334,18595.55,1
