,ARG,BHS,BLZ,BOL,BRA,BRB,CHL,COL,CRI,CUB,CUW,DMA,DOM,ECU,GRD,GTM,GUY,HND,HTI,JAM,KNA,LCA,MEX,NIC,PAN,PER,PRI,PRY,SLV,SUR,TCA,TTO,URY,VCT
GRD,0.0,6.148357786951161e-05,0.002179267023068122,0.0,0.006374950455683555,0.1250811752306796,0.0,0.0,0.0005187770152996763,0.0024783170250168894,0.0,0.03622220419596409,0.0,0.0,0.0,0.0,0.03649015028802839,0.0,0.0,0.014007867442383927,0.06513900385078233,0.18726072992508522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061613591565745736,0.0004974576485487529,0.27981241049318717,0.0,0.23771484667182816
GTM,0.0005750700596616536,0.0006159562829910969,0.018740227585763557,0.0012528338588144324,0.007347206300829548,0.00042441285554582655,0.015177202230177012,0.016936560491784276,0.0899283717254325,0.0005466328149816941,0.00028568484475015245,6.7812116823502805e-06,0.03970793439429269,0.012571137269450491,5.7384407035486294e-05,0.0,0.001730224547256937,0.22312168566545518,0.003126192724312507,0.00605481901867712,1.3278794992333412e-05,0.00011811981595042086,0.09708093988924184,0.14158248807264553,0.044391923083877,0.013672243283715746,0.0,0.00047309212510840626,0.2601087285458412,0.0006885479445963372,2.245157924563096e-05,0.0030941507190353676,0.00046849019809441344,7.922765876125879e-05
GUY,3.956769286516641e-05,0.004511618905072963,1.2798179785989703e-05,9.852688233621196e-05,0.1141102915963615,0.04492851093452089,7.274109965050423e-07,0.01600205288396335,5.197781616160716e-05,0.010170867306273954,0.0008820210578926394,0.003602643814878166,0.003208483451087612,0.00031770758065361674,0.0008292647035891426,3.5489309141447356e-06,0.0,2.8568069513312815e-07,0.0008600245772939917,0.016485992805818857,0.0002612914203677414,0.027639579579152612,0.0013854693244736765,3.571010921045928e-08,0.45282325229196163,4.613886343590207e-05,0.0,7.86943176729362e-06,1.0531143321874307e-07,0.003250615682140204,3.2333653927863224e-05,0.2974613924217241,3.746070875343119e-05,0.000937543389591938
HND,0.0009040565623368905,0.0011261381893979232,0.003356461981652632,1.0892494141666941e-05,0.009430581044752502,0.00021546213396585746,0.0008463265264288395,0.03367724320026664,0.06591119481423761,0.000920281195236889,0.0001300925352396959,2.5150423152659778e-05,0.059937154146320164,0.013008541329183044,0.0,0.21749660866774392,0.0,0.0,0.009911160772490284,0.0021035230276434144,0.0,0.0008631073113066016,0.15722507744597516,0.17794078254281873,0.01971172131962244,0.0013892170219040499,0.0,0.0001310395231502447,0.22032473410456616,0.0004343614946959326,0.0,0.002808475440007131,8.8148318596167e-05,7.246643316676307e-05
HTI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.729352252715564e-304,1.300264870457e-311,1.3002648607494e-311,3548698.47,2417626.83,395260695.77,13620061004.13,1702549.98,1115585421.86,6343951509.76,837035788.77,173488472.0,77112746.26
JAM,393301063.9,688794405.67,231821.25,433024966.29,6039859.31,114070203.25,2900922.89,8146341.8,73301.63,796355890.08,219108770.21,270919102.31,2480480202.37,1441604956.92,111024786.11,1922923.69,2096602.79,12289107.36,1773038773.75,317789757.28,724.34,551655.66,75670.696,3242660.22,785296.828,167288.74,499224.132,1218966.368,198048.962,1275306.904,159038.608,1176085.672,12729904.18,5638134.912
KNA,67228.724,698283.464,42306.356,14364678.756,786473.436,2014104.236,846403.378,1582008.072,107058.0,95312.0,17433.0,72603.0,9540.0,444844.0,16634.0,4750650.0,11905.0,9106.0,17849.0,195048.0,66000.0,422085.0,17.0,13398.0,9750.0,2500.0,47206.0,195.0,311388.0,51662.0,1555.0,64493.82,7170704.76,3113563.2
LCA,221691.6,17893272.04,996778.14,352.06,3035678.72,210914.0,77556.78,105547.74,5521929.44,1307709.66,3063627.92,39837509.54,15540749.38,59190625.5,39267227.54,3024192.4,7702247.52,32796227.1,33814.54,813360.68,823563.7,404822.48,15868857.58,8877.0,263153.78,74098189.22,2618721.32,163567.95,1343733.0,1024959196.28,116971.4,3056064938.22,1360.0,313164160.66
MEX,0.041365468484162046,0.0008478055981028913,0.007984927002318521,0.00656852112071952,0.2443041236537894,0.0004239384245294885,0.06521349139392259,0.14829320660940085,0.04844125840464308,0.009275979504696785,0.0002301087740223049,5.100530923233162e-06,0.045379584785621936,0.02466170094089371,2.8015600669134287e-05,0.0914695303281917,0.010692189604972544,0.03984398451398117,0.00044555922542227454,0.005359607948616425,2.300146020677163e-06,0.00025538428313136573,0.0,0.03204985825544156,0.05242116659802649,0.06464037183590986,0.0,0.005068931627094847,0.03761191459995262,0.0010727614616915272,2.568162897168246e-05,0.0037008993217915124,0.012316582797336533,4.499503170338738e-08
NIC,0.0001481838765978308,9.189191980592248e-07,0.0002358324522877684,0.0009644870184699161,0.002140213839003794,4.411162685555445e-07,0.0019088473204752006,0.005846091759736134,0.08935764115761603,0.0017741129888819,7.262720045629393e-05,6.937853887074977e-05,0.011637810263097894,0.011084342668812254,1.2898289086114148e-05,0.06493876194399406,0.00018044842064568727,0.16367900349403816,0.009078384482135078,0.00028406318254758434,0.0,0.0,0.3917326270331221,0.0,0.0357796221735306,0.017737030144499667,0.0,2.424801071183771e-05,0.18973351012399167,0.0002459853761630178,1.2192359655796164e-05,0.0013024688773975847,1.3763751716320605e-05,4.063216992415416e-06
